Season,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,FTR,B365H,B365D,B365A,mktProb_homeWin,mktProb_Draw,mktProb_awayWin,results,predictions,probability,bet,payout,cum_payout,bankroll,payout_frac,cum_payout_frac,bankroll_frac,payout_kelly,cum_payout_kelly,bankroll_kelly
2017-2018,Tottenham,Crystal Palace,1.0,0.0,12.0,11.0,H,1.28,6.0,12.0,0.76,0.16,0.08,1,1,0.794,0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0
2017-2018,Arsenal,Tottenham,2.0,0.0,14.0,14.0,H,2.5,3.6,2.89,0.39,0.27,0.34,1,0,0.474,1,-50.0,-50.0,950.0,-50.0,-50.0,950.0,-59.700570342205324,-59.700570342205324,940.2994296577947
2017-2018,Bournemouth,Huddersfield,4.0,0.0,11.0,20.0,H,1.83,3.5,5.25,0.53,0.28,0.19,1,1,0.56,0,0.0,-50.0,950.0,0.0,-50.0,950.0,0.0,-59.700570342205324,940.2994296577947
2017-2018,Burnley,Swansea,2.0,0.0,16.0,13.0,H,2.14,3.2,4.0,0.45,0.3,0.24,1,1,0.512,1,57.00000000000001,7.000000000000007,1007.0,54.150000000000006,4.150000000000006,1004.15,33.45862836127907,-26.241941980926256,973.7580580190738
2017-2018,Crystal Palace,Everton,2.0,2.0,16.0,8.0,D,2.39,3.25,3.29,0.41,0.3,0.3,0,2,0.432,1,-50.0,-42.99999999999999,957.0,-50.2075,-46.0575,953.9425,-43.325376130735975,-69.56731811166223,930.4326818883378
2017-2018,Leicester,Man City,0.0,2.0,2.0,12.0,A,9.5,5.75,1.33,0.1,0.17,0.73,2,2,0.6,0,0.0,-42.99999999999999,957.0,0.0,-46.0575,953.9425,0.0,-69.56731811166223,930.4326818883378
2017-2018,Liverpool,Southampton,3.0,0.0,21.0,5.0,H,1.39,5.0,9.0,0.7,0.19,0.11,1,1,0.604,0,0.0,-42.99999999999999,957.0,0.0,-46.0575,953.9425,0.0,-69.56731811166223,930.4326818883378
2017-2018,Man United,Newcastle,4.0,1.0,16.0,12.0,H,1.28,5.75,13.0,0.76,0.17,0.07,1,1,0.514,0,0.0,-42.99999999999999,957.0,0.0,-46.0575,953.9425,0.0,-69.56731811166223,930.4326818883378
2017-2018,West Brom,Chelsea,0.0,4.0,7.0,11.0,A,6.5,4.0,1.61,0.15,0.24,0.61,2,0,0.41,1,-50.0,-93.0,907.0,-47.697125,-93.754625,906.245375,-49.3011046059901,-118.86842271765232,881.1315772823477
2017-2018,Watford,West Ham,2.0,0.0,17.0,10.0,H,2.1,3.5,3.75,0.46,0.28,0.26,1,1,0.624,1,55.00000000000001,-37.99999999999999,962.0,49.843495625,-43.911129375,956.088870625,46.24534719704747,-72.62307552060486,927.3769244793953
2017-2018,Brighton,Stoke,2.0,2.0,9.0,13.0,D,2.39,3.2,3.39,0.41,0.3,0.29,0,1,0.408,0,-0.0,-37.99999999999999,962.0,0.0,-43.911129375,956.088870625,0.0,-72.62307552060486,927.3769244793953
2017-2018,West Ham,Leicester,1.0,1.0,8.0,7.0,D,2.7,3.39,2.75,0.36,0.29,0.35,0,2,0.432,1,-50.0,-88.0,912.0,-47.80444353125,-91.71557290625,908.2844270937501,-31.739801781477887,-104.36287730208275,895.6371226979173
2017-2018,Crystal Palace,Stoke,2.0,1.0,10.0,9.0,H,2.04,3.5,4.0,0.48,0.28,0.24,1,1,0.442,0,0.0,-88.0,912.0,0.0,-91.71557290625,908.2844270937501,0.0,-104.36287730208275,895.6371226979173
2017-2018,Liverpool,Chelsea,1.0,1.0,16.0,11.0,D,2.14,3.6,3.5,0.45,0.27,0.28,0,1,0.55,1,-50.0,-138.0,862.0,-45.414221354687506,-137.1297942609375,862.8702057390626,-32.56636093365483,-136.92923823573759,863.0707617642626
2017-2018,Man United,Brighton,1.0,0.0,15.0,8.0,H,1.19,7.0,19.0,0.81,0.14,0.05,1,1,0.724,0,0.0,-138.0,862.0,0.0,-137.1297942609375,862.8702057390626,0.0,-136.92923823573759,863.0707617642626
2017-2018,Newcastle,Watford,0.0,3.0,12.0,12.0,A,2.2,3.5,3.5,0.44,0.28,0.28,2,0,0.414,1,-50.0,-188.0,812.0,-43.14351028695313,-180.27330454789063,819.7266954521094,-38.87132266188276,-175.80056089762036,824.1994391023798
2017-2018,Swansea,Bournemouth,0.0,0.0,10.0,9.0,D,2.79,3.25,2.79,0.35,0.3,0.35,0,1,0.512,1,-50.0,-238.0,762.0,-40.986334772605474,-221.2596393204961,778.740360679504,-39.77775653635092,-215.57831743397128,784.4216825660288
